date,province,country,lat,long,type,cases,cumu_cases
2020-03-20,NA,China,40.1824,116.4142,confirmed,11,1482
2020-03-21,NA,China,40.1824,116.4142,confirmed,13,1495
2020-03-22,NA,China,40.1824,116.4142,confirmed,18,1513
2020-03-23,NA,China,40.1824,116.4142,confirmed,15,1528
2020-03-24,NA,China,40.1824,116.4142,confirmed,21,1549
2020-03-25,NA,China,40.1824,116.4142,confirmed,3,1552
2020-03-26,NA,China,40.1824,116.4142,confirmed,5,1557
2020-03-27,NA,China,40.1824,116.4142,confirmed,3,1560
2020-03-28,NA,China,40.1824,116.4142,confirmed,4,1564
2020-03-29,NA,China,40.1824,116.4142,confirmed,4,1568
2020-03-30,NA,China,40.1824,116.4142,confirmed,0,1568
2020-03-31,NA,China,40.1824,116.4142,confirmed,3,1571
2020-04-01,NA,China,40.1824,116.4142,confirmed,0,1571
2020-04-02,NA,China,40.1824,116.4142,confirmed,2,1573
2020-04-03,NA,China,40.1824,116.4142,confirmed,2,1575
2020-04-04,NA,China,40.1824,116.4142,confirmed,1,1576
2020-04-05,NA,China,40.1824,116.4142,confirmed,1,1577
2020-04-06,NA,China,40.1824,116.4142,confirmed,1,1578
2020-04-07,NA,China,40.1824,116.4142,confirmed,0,1578
2020-04-08,NA,China,40.1824,116.4142,confirmed,1,1579
2020-04-09,NA,China,40.1824,116.4142,confirmed,0,1579
2020-04-10,NA,China,40.1824,116.4142,confirmed,0,1579
2020-04-11,NA,China,40.1824,116.4142,confirmed,1,1580
2020-04-12,NA,China,40.1824,116.4142,confirmed,0,1580
2020-04-13,NA,China,40.1824,116.4142,confirmed,0,1580
2020-04-14,NA,China,40.1824,116.4142,confirmed,0,1580
2020-04-15,NA,China,40.1824,116.4142,confirmed,1,1581
2020-04-16,NA,China,40.1824,116.4142,confirmed,3,1584
2020-04-17,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-18,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-19,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-20,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-21,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-22,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-23,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-24,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-25,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-26,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-27,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-28,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-29,NA,China,40.1824,116.4142,confirmed,0,1584
2020-04-30,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-01,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-02,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-03,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-04,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-05,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-06,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-07,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-08,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-09,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-10,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-11,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-12,NA,China,40.1824,116.4142,confirmed,0,1584
2020-05-13,NA,China,40.1824,116.4142,confirmed,0,1584
2020-01-22,NA,China,30.0572,107.874,confirmed,6,1590
2020-01-23,NA,China,30.0572,107.874,confirmed,3,1593
2020-01-24,NA,China,30.0572,107.874,confirmed,18,1611
2020-01-25,NA,China,30.0572,107.874,confirmed,30,1641
2020-01-26,NA,China,30.0572,107.874,confirmed,18,1659
2020-01-27,NA,China,30.0572,107.874,confirmed,35,1694
2020-01-28,NA,China,30.0572,107.874,confirmed,22,1716
2020-01-29,NA,China,30.0572,107.874,confirmed,15,1731
